Đặc_trưng,Độ_quan_trọng
Location,0.13133595220238037
Time_of_Purchase,0.1294105670767782
Age,0.09461306128484367
Time_to_Decision,0.06531352789124478
Frequency_of_Purchase,0.06404608468073004
Customer_Satisfaction,0.05804037913417052
Product_Rating,0.04028010143207973
Payment_Method,0.039591153997902036
Brand_Loyalty,0.03893275388098986
Purchase_Intent,0.03512814814623688
Social_Media_Influence,0.03454268029554905
Gender,0.030473429919932488
Marital_Status,0.029835561535734512
Device_Used_for_Shopping,0.02768329713283985
Purchase_Channel,0.02725731628697399
Time_Spent_on_Product_Research(hours),0.027245266042424582
Return_Rate,0.025921140923657222
Discount_Sensitivity,0.025609852460625963
Shipping_Preference,0.024221718304979566
Education_Level,0.024047292452919016
Occupation,0.013760156668440965
Income_Level,0.012710558248566529
